# F-Shot Tokens — Danh sách phẳng để tạo thủ công trong Penpot
# Bản web Penpot hiện tại chỉ hỗ trợ Create token thủ công.
# Copy từng dòng: Name | Type | Value | Description
# Lưu ý: Name dùng dấu . phân cấp. Penpot sẽ nhóm tự động theo dấu chấm.

Accent.Primary              | color     | #7C3AED   | Màu chính cho nút active, điểm nhấn toolbar
Annotation.StrokeWidth.Thick   | dimension | 4px    | Dùng cho marker hoặc nhấn mạnh
Annotation.Marker.Opacity   | number    | 0.40      | Marker bán trong suốt
Annotation.Text.Color       | color     | #EF4444   | Màu chữ mặc định
Annotation.Text.Background  | color     | #000000   | Nền text box trong suốt khi edit
Annotation.Text.BackgroundOpacity | number | 0.00   | Không nền khi edit

Badge.BackgroundColor       | color     | #7C3AED   | Nền accent
Badge.BackgroundOpacity     | number    | 0.95      | Gần như đục
Badge.TextColor             | color     | #FFFFFF   | Chữ trắng
Badge.TextOpacity           | number    | 1.00      | Không trong suốt
Badge.BorderRadius          | dimension | 4px       | Bo góc nhỏ

Text.FontFamily             | string    | Segoe UI, sans-serif | Font hệ thống Windows mặc định
Text.FontFamilyMono         | string    | Consolas, monospace | Font monospace cho số liệu, tọa độ
Text.Toolbar.FontSize       | dimension | 13px      | Font cho tooltip trên toolbar
Text.Badge.FontSize         | dimension | 11px      | Font trong dimension badge
Text.Shortcut.FontSize      | dimension | 10px      | Font phím tắt nhỏ bên dưới icon
Text.Weight.Regular         | number    | 400       | Độ đậm thông thường
Text.Weight.Semibold        | number    | 600       | Độ đậm nhấn mạnh

Size.Toolbar.Height         | dimension | 40px      | Chiều cao thanh công cụ
Size.Toolbar.MinWidth       | dimension | 200px     | Độ rộng tối thiểu toolbar
Size.ToolButton.Width       | dimension | 32px      | Chiều rộng nút công cụ
Size.ToolButton.Height      | dimension | 32px      | Chiều cao nút công cụ
Size.Icon.Width             | dimension | 18px      | Chiều rộng icon trong nút
Size.Icon.Height            | dimension | 18px      | Chiều cao icon trong nút
Size.Handle.Width           | dimension | 8px       | Chiều rộng handle
Size.Handle.Height          | dimension | 8px       | Chiều cao handle
Size.Handle.HitPadding      | dimension | 4px       | Vùng mở rộng bắt chuột xung quanh handle
Size.Badge.Height           | dimension | 18px      | Chiều cao badge kích thước
Size.Badge.PaddingX         | dimension | 6px       | Padding ngang trong badge
Size.Badge.PaddingY         | dimension | 2px       | Padding dọc trong badge
Size.Separator.Height       | dimension | 20px      | Chiều cao đường phân cách trong toolbar

Radius.Toolbar              | dimension | 8px       | Bo góc thanh công cụ
Radius.ToolButton           | dimension | 6px       | Bo góc nút công cụ
Radius.Badge                | dimension | 4px       | Bo góc badge
Radius.Popup                | dimension | 10px      | Bo góc popup nhỏ

Spacing.Toolbar.InnerGap    | dimension | 4px       | Khoảng cách giữa các nút trong cùng nhóm
Spacing.Toolbar.GroupGap    | dimension | 8px       | Khoảng cách giữa 2 nhóm nút qua separator
Spacing.Toolbar.PaddingX    | dimension | 8px       | Padding ngang toàn toolbar
Spacing.Toolbar.PaddingY    | dimension | 4px       | Padding dọc toàn toolbar
Spacing.Toolbar.OffsetFromSelection | dimension | 8px | Khoảng cách từ mép dưới vùng chọn đến toolbar
Spacing.Popup.Offset        | dimension | 6px       | Khoảng cách từ nút kích hoạt đến popup
